,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
0,715415001,974620,239822885,5323315,263784,117424519,18538380,6015677,625339,188661425,454556,526616,21272468,60499011,7137666,13417662,6028084,12216540
1,715415001,974620,239822885,5323315,263784,117424519,18538380,6015677,625339,188661425,454556,526616,21272468,60499011,7137666,13417662,6028084,12216540
2,829502741,978608,244527607,5323327,263784,114936240,18629664,5996859,618499,187989011,455615,543991,21040641,60483016,7268510,13148793,6073308,12170220
3,669980356,804606,230934824,4551197,263126,64782832,13141033,3823495,590664,158796132,415707,505610,17711403,35847872,4809559,12505448,4417026,7787463
4,669980358,804567,278683075,4551199,262826,64921777,13363280,3840039,588831,158796134,415693,502604,17707386,45778741,4835240,12369553,4287038,7455544
5,669980358,804567,278683075,4551199,262826,64921777,13363280,3840039,588831,158796134,415693,502604,17707386,45778741,4835240,12369553,4287038,7455544
6,669980358,804567,278683075,4551199,262826,64921777,13363280,3840039,588831,158796134,415693,502604,17707386,45778741,4835240,12369553,4287038,7455544
7,669980358,804567,278683075,4551199,262826,64921777,13363280,3840039,588831,158796134,415687,502604,17707386,45778741,4835240,12369553,4287038,7455544
8,669980358,804567,278683075,4551199,262826,64921777,13363290,3840038,588831,158796134,415687,502604,17707386,45778741,4835240,12369553,4287038,7455544
9,669980358,804567,278365455,4551199,262826,64921770,13363264,3848852,588831,158796134,415941,502604,17707386,45778741,4834623,12369551,4287457,7455300
10,669980358,804567,278365455,4551199,262826,64921770,13363264,3848852,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287457,7455300
11,669980358,804567,278365455,4551199,262826,64921770,13363264,3848852,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287457,7455300
12,669980386,804571,278365475,4551211,262826,64921753,13363259,3848857,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287446,7455296
13,669980386,804571,278365475,4551211,262826,64921753,13363259,3848857,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287446,7455296
14,669980386,804571,278365462,4551211,262826,64907302,13363268,3848840,588831,158796134,415894,502604,17707386,45778741,4834610,12369541,4287455,7455294
15,560392321,751477,295134184,4551193,262949,63946673,13403830,3724406,577978,145063136,415907,480221,17246958,44925614,5087981,10897471,4083849,6301354
16,560392321,751481,282852447,4551193,262949,71667983,14405709,3728578,579564,147194223,415907,480221,17247467,44925590,4975254,12796755,4224265,6314639
17,560392321,751481,313609529,4551193,262949,71667983,14405718,3728593,579564,147194223,415907,480221,17247467,44925582,4975256,12796751,4224268,6314630
18,560392380,751481,291932331,4551162,262059,71306588,13782360,3723048,534521,144160534,415917,480268,17931827,44924286,5000465,12791525,4216305,6289958
19,560392380,751481,291932331,4551162,262059,71306602,13782360,3723048,534521,144160534,415925,480268,17931827,44924286,5000465,12791525,4216305,6289958
20,560392380,751481,291932331,4551162,262059,71306602,13782360,3723048,534521,144160534,415911,480268,17931827,44924286,5000465,12791525,4216305,6289958
21,560392380,751481,291932340,4551162,262059,71266030,13782361,3723070,534521,144160534,415925,480268,17931827,44924285,5000408,12791461,4216254,6289907
22,560392380,751481,242386963,4551162,262221,71187635,13872932,3723299,533593,143623489,416187,461851,17940829,44924645,5040213,12831026,4237653,6807914
23,560392380,751429,242386865,4551162,262221,71201372,13872936,3723305,533593,143623489,416187,461851,17940829,44924645,5039840,12839899,4267160,6753830
24,560392380,751429,242218083,4551162,262342,71227058,13873265,3597471,533593,143623489,416187,461654,15307001,44924646,5489974,13293528,4480941,6739921
25,560392380,751429,231749030,4551162,262342,71016780,13873462,3597478,533593,143623489,416187,460725,15307001,44924646,5490509,13331131,4483024,6740247
26,560392380,751429,231749081,4551162,262342,70978861,13884162,3597492,533593,143623489,416165,460725,15307001,44924646,5490517,13331095,4483029,6740252
27,560392380,751429,231749081,4551162,262342,70978861,13884162,3597492,533593,143623489,416173,460725,15307001,44924646,5490517,13331095,4483029,6740252
28,560392380,751439,257868636,4551139,262299,65304373,13882558,3597395,526361,137246063,416187,460725,14631009,44925236,5108767,12930015,4314063,6794434
29,560392380,751439,257868636,4551139,262299,65304373,13882558,3597395,526361,137246063,416187,460725,14631009,44925236,5108767,12930015,4314063,6794434
30,560392380,751439,257868636,4551139,262299,65304373,13882558,3597395,526361,137246063,416187,460725,14631009,44925236,5108767,12930015,4314063,6794434
31,554853419,751439,257868791,4551139,262299,65302905,13882536,3596758,525908,137246063,416177,460725,14631009,44925589,5107073,12929480,4312583,6792674
32,554853419,751439,257868528,4551139,262299,65304041,13882536,3596758,525908,137246063,416177,460725,14631009,44925589,5107075,12929482,4312583,6792676
33,552603419,746165,257868388,4551139,262299,64960265,13949087,3593136,526076,137246063,417417,460725,14631009,44180088,5107105,12929543,4312601,6792718
34,552603419,746165,257868388,4551139,262299,64987699,13949087,3593136,526076,137246063,417417,460725,14631009,44180088,5107105,12929543,4312601,6792718
35,552603419,746165,219685206,4551139,262299,65001690,14061512,3623328,526076,136991177,417417,461670,14631009,44180092,5106940,12930225,4313318,6792159
36,562562902,746722,203408480,4705565,262135,66054053,13668828,3678350,525548,137141560,410485,460780,9383787,47063915,5253052,12245294,4446756,6983235
37,562562972,747415,196945120,4705565,262135,60019874,13710574,3678432,525544,137256675,410485,460810,4531721,45491228,5251465,12239373,4445952,6944776
38,562562960,747415,190412141,4705616,262135,59848050,13785723,3681420,525551,137256675,410483,461007,10302323,45490177,5251049,14091728,4367089,6915106
39,562562960,747415,195458286,4705605,262135,59893268,13711172,3651476,525551,137256675,410483,461499,4105622,44987485,5251459,13682318,4355142,6939032
40,565937861,751336,202048905,4551182,262150,60223285,14706475,3680962,525635,137474711,420697,460774,11206246,42014765,5251914,13553307,4386151,6961705
41,565937861,751336,202048905,4551182,262150,60234861,14706479,3680956,525547,137474711,420705,460774,11206246,42014765,5251914,13553311,4386155,6961705
42,565937861,751336,194819669,4551182,262150,60251946,14714726,3718334,525551,137256675,420697,461719,11206246,42014765,5251985,13553382,4386210,6961772
43,565937857,747014,197646452,4551182,262150,59162217,13827180,3691972,525551,137256676,409914,444526,10496056,41994679,5319872,12559487,4355914,7192675
44,565938136,747014,191066157,4551182,262150,59105580,13805303,3693170,525551,137256676,408556,444526,10496056,41994679,5319868,12559483,4355908,7061612
45,565938136,747014,193473050,4551147,262150,59105580,13770678,3693148,525551,137256676,405270,444526,10496056,41994679,5319872,12559487,4355914,7070222
46,543438079,746966,183971786,4551147,262150,54308390,13650208,3692733,521043,140447919,403730,420510,10496056,41994676,5186669,11975478,4304493,7078292
47,543438079,746966,183971786,4551147,262150,54308390,13650219,3692979,521043,140447919,403730,420510,10496056,41994676,5186669,11975478,4304493,7078292
48,542313135,747016,180797145,4551147,262238,54344973,13682865,3657855,523148,140602988,403789,419380,10486782,42397172,5365776,13180036,4370561,7074240
49,542313135,747016,180797228,4551147,262238,54344973,13682846,3641962,523148,140602988,403779,419380,10486782,42397172,5365776,13180037,4370561,7074240
50,542313135,747016,180797228,4551147,262238,54344973,13682846,3641962,523148,140602988,403779,419380,10486782,42397172,5365776,13180037,4370561,7074240
51,542313135,747016,180796660,4551147,262238,54344973,13682815,3641444,523148,140602988,403779,419380,10486782,42397180,5365811,14866940,4419338,7074266
52,542313135,747000,185011641,4396745,262238,53705517,13652414,3640486,521021,140602988,403779,419147,10486782,42397180,5365613,14872084,4419383,7074003
53,542313135,747000,189741301,4396745,262238,53728810,13640825,3640480,521021,140602989,403786,419758,10485926,41988588,5365296,14871978,4419091,7066744
54,542313135,747000,188288125,4396745,262141,53728810,13640896,3640483,521021,140603389,403786,419113,10489761,41988584,5365322,14871905,4419098,7066743
55,542313135,746802,188566943,4396745,262141,53728790,13640905,3640499,520956,140603389,403786,419113,10489761,41988584,5365310,14871901,4419105,7066747
56,542313135,746802,188566943,4396745,262141,53728790,13640905,3640499,520956,140603389,403786,419113,10489761,41988584,5365310,14871901,4419105,7066747
57,543438099,746802,190943395,4396745,262141,53728790,13669983,3673703,521040,140447128,403790,420204,10489761,41988580,5365298,14871889,4419097,7066736
58,543438099,746802,190943762,4396745,262141,53728790,13669952,3673687,520822,140447127,403790,420204,9376646,41988580,5365325,14871889,4419090,7059240
59,543438099,746802,190943762,4396745,262141,53728790,13669952,3673722,520822,140447127,403790,420204,9376646,41988580,5365325,14871889,4419090,7059240
60,543438131,746802,189271457,4396745,262041,53728815,13669915,3640633,520906,140455177,403796,419244,9376646,41988580,5365320,14871904,4419297,7079078
61,541188167,746802,187818364,4396745,262041,53699816,13642187,3640486,521040,140603388,403792,419011,9376646,41988580,5365331,14858008,4418688,7079072
62,541188167,746802,187818364,4396745,262041,53699816,13642187,3640486,521040,140603388,403792,419011,9376646,41988580,5365331,14858008,4418688,7079072
63,541188167,746802,187818364,4396745,262041,53699816,13642187,3640486,521040,140603388,403792,419011,9376646,41988580,5365331,14858008,4418688,7079072
64,541188167,746802,187818364,4396745,262041,53699816,13642187,3640486,521040,140603388,403792,419011,9376646,41988580,5365331,14858008,4418688,7079072
65,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
66,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
67,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
68,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
69,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
70,542313159,746802,190194642,4396745,262076,53699819,13669908,3673701,520910,140447127,403796,420814,9376646,41988584,5365315,14857992,4418672,7079061
71,542313159,746802,201591784,4396745,262076,53699819,13610984,3673696,522043,140447127,403796,420814,9376646,41988584,5365311,14857424,4418677,7079065
72,542313159,746802,201591784,4396745,262076,53699819,13610984,3673696,522043,140447127,403796,420814,9376646,41988584,5365311,14857424,4418677,7079065
73,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
74,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
75,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
76,524313125,746802,196109052,4396745,262076,53207642,13583673,3638136,518226,140603388,403792,419011,9376646,41988592,5365327,12427955,4347975,7081879
77,524313125,746802,196109048,4396745,262076,53207642,13583673,3638136,518226,140603388,403792,419011,9376646,41988592,5365323,12427959,4347980,7081875
78,524313125,746272,195272169,4396745,262076,53159828,13583677,3638093,518226,140603388,403800,419736,9376646,41988576,5365336,12427961,4347982,7048033
79,524313125,745768,196109048,4396745,262076,53163694,13583673,3638081,518226,140603388,403802,419956,9376646,41988576,5365336,12427961,4347982,7048033
80,524313125,745768,196109048,4396745,262076,53163694,13583673,3638081,518226,140603388,403802,419956,9376646,41988576,5365336,12427961,4347982,7048033
81,525438145,745768,201366620,4396745,262076,53163694,13611313,3670742,517260,140447127,403806,420102,9376646,41988584,5365324,12427949,4347974,7048022
82,525438145,745768,202984309,4396745,262076,53133265,13611079,3671000,512408,140447127,403806,420594,9376646,41988592,5365313,12395378,4346383,7081102
83,524313125,745768,192716227,4396745,262076,53133265,13583590,3639293,512181,140603388,403802,419854,9376646,41988592,5365325,12395390,4346391,7081553
84,524313125,745768,192716227,4396745,262076,53133265,13583590,3639293,512181,140603388,403802,419854,9376646,41988592,5365325,12395390,4346391,7081553
85,525438145,745768,202984098,4396745,262076,53133265,13611211,3671954,512181,140447127,403806,420594,9376646,41988584,5365317,12395378,4346391,7081542
86,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
87,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
88,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
89,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
90,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
91,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
92,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
93,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
94,524313125,745768,192716385,4396745,262076,53133265,13583593,3638507,512181,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
95,524313125,745768,192716385,4396745,262076,53133265,13583589,3638499,512181,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
96,524313125,745768,192716385,4396745,262076,53133265,13583589,3638499,512192,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
